7,3744
8,11412
11,13290
15,3714
21,10506
56,14958
59,2802
63,19218
76,5136
78,3624
91,19506
95,14448
101,8748
112,13962
119,7686
128,900
131,19470
133,10494
149,14334
166,2784
176,16434
183,13668
184,1260
199,18996
205,8004
210,14394
214,4686
218,19044
220,9726
245,18294
251,19872
254,16530
257,15558
258,3450
261,13794
263,19260
265,7986
268,12150
287,14940
288,19986
289,13278
299,8316
300,18684
304,15462
308,17886
310,6606
312,8322
328,2544
338,18906
353,12456
358,12654
359,18504
369,9678
374,19338
375,15240
376,12516
381,12786
390,19464
408,14682
409,3306
414,8214
424,8946
426,10674
433,9216
439,1704
441,11982
443,18810
455,18408
470,10980
474,6582
479,16980
488,11634
519,3564
522,9006
538,8538
549,18366
564,2934
573,15630
579,18678
580,12408
601,6762
616,16818
620,10236
625,4986
628,8352
630,9654
632,16830
636,10140
641,15660
650,12204
652,10524
655,16992
656,9588
678,1158
692,13806
696,4926
701,2874
703,12588
704,16914
716,10842
722,18006
723,5052
724,2460
727,9234
731,15666
732,9732
738,17238
740,15768
746,19992
749,9300
750,954
757,8166
765,10326
788,17988
798,7422
804,6780
805,19296
808,12702
809,19866
815,13818
818,3414
820,15096
823,9204
824,4818
833,2868
840,1728
853,288
859,8910
862,9936
863,12144
868,10998
875,15930
880,6084
885,924
898,19632
899,6072
911,18630
913,600
920,16680
923,3630
929,2796
937,10992
954,6276
956,2358
957,8382
960,3114
963,10380
968,3642
969,15198
978,1518
979,1164
981,10872
983,12852
1000,10116
1010,9072
1013,11886
1015,4764
1018,10668
1026,18846
1031,8208
1032,7512
1034,18312
1038,8298
1045,3480
1048,17136
1058,17778
1061,12288
1067,15612
1071,15852
1074,17550
1077,16200
1091,19578
1092,9000
1095,9606
1096,14310
1103,12618
1104,1044
1107,6846
1109,8100
1119,16758
1122,8292
1131,11814
1134,14370
1147,1926
1149,2736
1155,11394
1157,15168
1159,19908
1187,906
1188,7524
1190,12834
1191,9456
1203,588
1204,10398
1211,8628
1212,11190
1219,42
1220,5244
1224,8958
1232,6468
1235,6996
1247,19224
1255,13710
1259,11652
1264,366
1268,17478
1269,2940
1276,7902
1278,19566
1279,18540
1283,8886
1292,12948
1305,14136
1306,8190
1307,15948
1309,4908
1311,10098
1320,14166
1324,10404
1327,15834
1339,17562
1355,17250
1356,3528
1360,6534
1362,16284
1371,17370
1373,6336
1383,18474
1385,11022
1387,2580
1396,13446
1402,13134
1405,1380
1407,13110
1409,7788
1412,1416
1415,3912
1421,15480
1426,3558
1433,11112
1437,7074
1438,894
1439,132
1440,8502
1443,17520
1446,19488
1448,390
1450,9276
1452,5772
1459,17388
1466,14574
1473,18072
1476,8574
1480,1680
1482,6132
1489,19122
1494,11220
1504,5964
1510,9786
1521,4752
1531,6234
1533,990
1540,12510
1545,3522
1562,4884
1565,18690
1586,11268
1592,11934
1593,18336
1603,7260
1630,8376
1643,5610
1646,15888
1647,5340
1658,13884
1668,11148
1674,16518
1679,19644
1682,12414
1686,19812
1689,2490
1691,10692
1702,3606
1705,6222
1713,13890
1732,8616
1736,14430
1740,12390
1741,7554
1742,1452
1744,11046
1746,3348
1775,14100
1807,12480
1811,15390
1814,15414
1836,8238
1843,10644
1852,6576
1854,6324
1877,16146
1885,5970
1889,13062
1897,2646
1903,12486
1907,6630
1908,6228
1918,7596
1925,15060
1931,15102
1933,108
1934,17982
1937,16692
1938,2910
1941,3834
1948,18012
1957,14544
1958,492
1963,4452
1969,16332
1971,18618
1979,12096
1982,5430
1985,16632
2002,11988
2013,12348
2035,12306
2036,12312
2039,17022
2041,13182
2055,4896
2060,10626
2063,15600
2064,6126
2066,324
2077,6102
2086,30
2093,13218
2100,14292
2124,17946
2126,2052
2128,12966
2136,4380
2150,2058
2151,16362
2163,12402
2168,11940
2175,15300
2180,16326
2181,13032
2182,4938
2187,7482
2192,12426
2198,3216
2205,8742
2221,6372
2227,11772
2230,14016
2235,7182
2249,16272
2250,18978
2252,10986
2253,6906
2254,11292
2258,13842
2273,6204
2278,18108
2286,10848
2287,4536
2296,12696
2304,11274
2315,11142
2316,1446
2318,12084
2321,18558
2336,14382
2340,12732
2360,18132
2364,7284
2370,3864
2378,4728
2386,1194
2392,9342
2393,4068
2397,6186
2398,9966
2413,13428
2428,2634
2434,11790
2438,18804
2446,5532
2447,6960
2453,17346
2462,5820
2463,4248
2467,1572
2471,2010
2480,5646
2482,4074
2484,19602
2487,4344
2489,12396
2492,3936
2494,3534
2495,16356
2496,17958
2504,18744
2506,960
2510,13092
2513,1548
2517,16302
2528,8622
2535,10824
2537,14604
2544,582
2553,3162
2554,15276
2555,15846
2572,18840
2574,11334
2578,5838
2599,4014
2600,5880
2604,14130
2609,18060
2615,14442
2621,144
2622,396
2629,14478
2637,10176
2645,4212
2651,2562
2653,7188
2655,11742
2658,10314
2659,14052
2687,5634
2702,11280
2706,15918
2713,17184
